student_idx,predicted_probability,feature,shap_contribution,rank
533802,0.8673754930496216,MATHEFF,0.30629569600661855,4
533802,0.8673754930496216,BULLIED,0.2954655843139699,5
533802,0.8673754930496216,ST004D01T,0.22139408368424485,6
533802,0.8673754930496216,EDUSHORT,0.2076256307816402,7
533802,0.8673754930496216,FAMCON,0.16010946162523396,8
533802,0.8673754930496216,ICTEFFIC,0.13409873742391937,9
533802,0.8673754930496216,STAFFSHORT,0.116668540485407,10
208512,0.9290505051612854,GRADE,0.6130577184979665,1
208512,0.9290505051612854,MATHEFF,0.570278860590297,2
208512,0.9290505051612854,FAMCON,0.5360236106822959,3
208512,0.9290505051612854,HISEI,0.46599995728447996,4
208512,0.9290505051612854,ICTRES,0.2794526399289316,5
208512,0.9290505051612854,ANXMAT,0.2368764873162263,6
208512,0.9290505051612854,BULLIED,0.2358878323404133,7
208512,0.9290505051612854,COGACRCO,0.22760341167285333,8
208512,0.9290505051612854,ST004D01T,0.219027939104526,9
208512,0.9290505051612854,SCHRISK,0.1489823909154984,10
531775,0.5267789959907532,MATHEF21,0.35317959308370517,1
531775,0.5267789959907532,ICTHOME,0.33833227682780487,2
531775,0.5267789959907532,MATHEFF,0.22308010532480693,3
531775,0.5267789959907532,FAMCON,0.19690461671487355,4
531775,0.5267789959907532,ST004D01T,0.17682500055376293,5
531775,0.5267789959907532,TEACHSUP,0.1429912866812083,6
531775,0.5267789959907532,FAMSUP,0.1363194140298583,7
531775,0.5267789959907532,BELONG,0.12593275773853294,8
531775,0.5267789959907532,AGE,0.09092175653398954,9
531775,0.5267789959907532,COGACMCO,0.08770531154995297,10
310865,0.862066924571991,ICTHOME,0.44450993744867445,1
310865,0.862066924571991,BULLIED,0.4410649749078584,2
310865,0.862066924571991,FAMCON,0.3656665251314371,3
310865,0.862066924571991,DISCLIM,0.27929896248316255,4
310865,0.862066924571991,ICTRES,0.2539165493915607,5
310865,0.862066924571991,STUBEHA,0.248279103736204,6
310865,0.862066924571991,FEELSAFE,0.21817495699891878,7
310865,0.862066924571991,MATHEFF,0.17786773835661734,8
310865,0.862066924571991,ICTSUBJ,0.16135864342571948,9
310865,0.862066924571991,SCHRISK,0.15682563814383685,10
160140,0.41710275411605835,COGACMCO,0.3383585620591657,1
160140,0.41710275411605835,STUBEHA,0.31955358618287844,2
160140,0.41710275411605835,MATHEFF,0.2877574163252393,3
160140,0.41710275411605835,TEACHBEHA,0.2529342704764349,4
160140,0.41710275411605835,STUDYHMW,0.2041325615047026,5
160140,0.41710275411605835,EDUSHORT,0.20133925467537664,6
160140,0.41710275411605835,ICTSCH,0.1711983230441183,7
160140,0.41710275411605835,FAMSUP,0.13038081722835387,8
160140,0.41710275411605835,FAMCON,0.1284812713361771,9
160140,0.41710275411605835,ICTRES,0.12234856813407533,10
280365,0.34751415252685547,MATHEFF,0.3811588571950415,1
280365,0.34751415252685547,STUBEHA,0.36983682789878913,2
280365,0.34751415252685547,COGACMCO,0.30401704238535787,3
280365,0.34751415252685547,FAMSUP,0.26890313009236705,4
280365,0.34751415252685547,ANXMAT,0.22953418441446047,5
280365,0.34751415252685547,DISCLIM,0.1228587653972869,6
280365,0.34751415252685547,ICTSCH,0.09542347500278993,7
280365,0.34751415252685547,ICTHOME,0.08263230696455139,8
280365,0.34751415252685547,ICTRES,0.05652255479220912,9
280365,0.34751415252685547,FEELSAFE,0.05473660561625365,10
352845,0.9947522878646851,MATHEFF,0.7124037484011569,1
352845,0.9947522878646851,HOMEPOS,0.7082751155299866,2
352845,0.9947522878646851,COGACRCO,0.5032384628243562,3
352845,0.9947522878646851,DISCLIM,0.43771949047320957,4
352845,0.9947522878646851,ICTRES,0.4329196810361827,5
352845,0.9947522878646851,MATHPERS,0.4004881514868066,6
352845,0.9947522878646851,EDUSHORT,0.35867910798614505,7
